State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
"New House Breakdown: 235D, 199R, 1 Denied Certification",,,,D,60726592,50983893,1967161,53.40%,44.80%,1.70%,8.60%,2.10%,6.50%,"136,179,900",83.50%,
"Compiled by: David Wasserman & Ally Flinn, Cook Political Report. @Redistrict/@CookPolitical. Italics denotes freshman, Bold denotes party change.",,,,,,,,,,,,,,,,
Alabama,1,R+15,Bradley Byrne,R,89226,153228,163,36.80%,63.20%,0.10%,-26.40%,-29.20%,2.80%,"305,780",79.30%,x
Alabama,2,R+16,Martha Roby,R,86931,138879,420,38.40%,61.40%,0.20%,-23.00%,-31.70%,8.70%,"287,564",78.70%,x
Alabama,3,R+16,Mike Rogers,R,83996,147770,149,36.20%,63.70%,0.10%,-27.50%,-33.00%,5.50%,"291,243",79.60%,x
Alabama,4,R+30,Robert Aderholt,R,46492,184255,222,20.10%,79.80%,0.10%,-59.60%,-62.50%,2.90%,"292,861",78.90%,x
Alabama,5,R+18,Mo Brooks,R,101388,159063,222,38.90%,61.00%,0.10%,-22.10%,-32.90%,10.80%,"314,679",82.80%,x
Alabama,6,R+26,Gary Palmer,R,85644,192542,142,30.80%,69.20%,0.10%,-38.40%,-43.80%,5.40%,"335,943",82.80%,x
Alabama,7,D+20,Terri Sewell,D,185010,0,4153,97.80%,0.00%,2.20%,97.80%,41.20%,N/A,"294,433",64.20%,x
Alaska,AL,R+9,Don Young,R,131199,149779,1188,46.50%,53.10%,0.40%,-6.60%,-14.70%,8.10%,"318,608",88.60%,x
Arizona,1,R+2,Tom O'Halleran,D,143240,122784,65,53.80%,46.10%,0.00%,7.70%,-1.10%,8.80%,"289,086",92.00%,x
Arizona,2,R+1,Ann Kirkpatrick,D,161000,133083,69,54.70%,45.20%,0.00%,9.50%,4.80%,4.70%,"321,540",91.50%,x
Arizona,3,D+13,Raul Grijalva,D,114650,64868,0,63.90%,36.10%,0.00%,27.70%,29.50%,-1.80%,"211,797",84.80%,x
Arizona,4,R+21,Paul Gosar,R,84521,188842,3672,30.50%,68.20%,1.30%,-37.70%,-39.40%,1.70%,"304,185",91.10%,x
Arizona,5,R+15,Andy Biggs,R,127027,186037,0,40.60%,59.40%,0.00%,-18.80%,-20.50%,1.70%,"341,437",91.70%,x
Arizona,6,R+9,David Schweikert,R,140559,173140,0,44.80%,55.20%,0.00%,-10.40%,-9.80%,-0.60%,"343,997",91.20%,x
Arizona,7,D+23,Ruben Gallego,D,113044,301,18706,85.60%,0.20%,14.20%,85.40%,48.30%,N/A,"167,183",79.00%,x
Arizona,8,R+13,Debbie Lesko,R,135569,168835,13,44.50%,55.50%,0.00%,-10.90%,-20.80%,9.90%,"332,767",91.50%,x
Arizona,9,D+4,Greg Stanton,D,159583,101662,0,61.10%,38.90%,0.00%,22.20%,15.90%,6.30%,"290,237",90.00%,x
Arkansas,1,R+17,Rick Crawford,R,57907,138757,4581,28.80%,68.90%,2.30%,-40.20%,-34.80%,-5.40%,"260,716",77.20%,x
Arkansas,2,R+7,French Hill,R,116135,132125,5193,45.80%,52.10%,2.00%,-6.30%,-10.70%,4.40%,"306,974",82.60%,x
Arkansas,3,R+19,Steve Womack,R,74952,148717,6039,32.60%,64.70%,2.60%,-32.10%,-31.40%,-0.70%,"292,163",78.60%,x
Arkansas,4,R+17,Bruce Westerman,R,63984,136740,4168,31.20%,66.70%,2.00%,-35.50%,-32.80%,-2.70%,"270,782",75.70%,x
California,1,R+11,Doug LaMalfa,R,131548,160046,0,45.10%,54.90%,0.00%,-9.80%,-19.40%,9.60%,"318,397",91.60%,x
California,2,D+22,Jared Huffman,D,243081,72576,0,77.00%,23.00%,0.00%,54.00%,45.20%,8.80%,"348,791",90.50%,x
California,3,D+5,John Garamendi,D,134875,97376,0,58.10%,41.90%,0.00%,16.10%,12.50%,3.60%,"263,803",88.00%,x
California,4,R+10,Tom McClintock,R,156253,184401,0,45.90%,54.10%,0.00%,-8.30%,-14.50%,6.20%,"360,284",94.60%,x
California,5,D+21,Mike Thompson,D,205860,0,55158,78.90%,0.00%,21.10%,78.90%,44.60%,N/A,"306,625",85.10%,x
California,6,D+21,Doris Matsui,D,201939,0,0,100.00%,0.00%,0.00%,100.00%,44.00%,N/A,"248,121",81.40%,x
California,7,D+3,Ami Bera,D,155016,126601,0,55.00%,45.00%,0.00%,10.10%,11.20%,-1.10%,"309,549",91.00%,x
California,8,R+9,Paul Cook,R,0,170785,0,0.00%,100.00%,0.00%,-100.00%,-15.10%,N/A,"232,930",73.30%,x
California,9,D+8,Jerry McNerney,D,113414,87349,0,56.50%,43.50%,0.00%,13.00%,18.20%,-5.20%,"243,453",82.50%,x
California,10,EVEN,Josh Harder,D,115945,105955,0,52.30%,47.70%,0.00%,4.50%,3.00%,1.50%,"243,067",91.30%,x
California,11,D+21,Mark DeSaulnier,D,204369,71312,0,74.10%,25.90%,0.00%,48.30%,47.60%,0.70%,"320,522",86.00%,x
California,12,D+37,Nancy Pelosi,D,275292,41780,0,86.80%,13.20%,0.00%,73.60%,76.60%,-3.00%,"362,965",87.40%,x
California,13,D+40,Barbara Lee,D,260580,0,34257,88.40%,0.00%,11.60%,88.40%,79.30%,N/A,"339,391",86.90%,x
California,14,D+27,Jackie Speier,D,211384,55439,0,79.20%,20.80%,0.00%,58.40%,58.60%,-0.20%,"298,322",89.40%,x
California,15,D+20,Eric Swalwell,D,177989,65940,0,73.00%,27.00%,0.00%,45.90%,44.90%,1.00%,"289,926",84.10%,x
California,16,D+9,Jim Costa,D,82266,60693,0,57.50%,42.50%,0.00%,15.10%,21.30%,-6.20%,"172,088",83.10%,x
California,17,D+25,Ro Khanna,D,159105,52057,0,75.30%,24.70%,0.00%,50.70%,53.20%,-2.50%,"249,775",84.50%,x
California,18,D+23,Anna Eshoo,D,225142,77096,0,74.50%,25.50%,0.00%,49.00%,53.20%,-4.20%,"335,138",90.20%,x
California,19,D+24,Zoe Lofgren,D,162496,57823,0,73.80%,26.20%,0.00%,47.50%,51.40%,-3.90%,"257,624",85.50%,x
California,20,D+23,Jimmy Panetta,D,183677,0,42044,81.40%,0.00%,18.60%,81.40%,46.80%,N/A,"258,177",87.40%,x
California,21,D+5,T.J. Cox,D,57239,56377,0,50.40%,49.60%,0.00%,0.80%,15.40%,-14.60%,"134,881",84.20%,x
California,22,R+8,Devin Nunes,R,105136,117243,0,47.30%,52.70%,0.00%,-5.40%,-9.30%,3.90%,"243,929",91.20%,x
California,23,R+14,Kevin McCarthy,R,74661,131113,0,36.30%,63.70%,0.00%,-27.40%,-21.90%,-5.50%,"246,632",83.40%,x
California,24,D+7,Salud Carbajal,D,166550,117881,0,58.60%,41.40%,0.00%,17.10%,19.90%,-2.80%,"316,384",89.90%,x
California,25,EVEN,Katie Hill,D,133209,111813,0,54.40%,45.60%,0.00%,8.70%,6.60%,2.10%,"274,459",89.30%,x
California,26,D+7,Julia Brownley,D,158216,97210,0,61.90%,38.10%,0.00%,23.90%,21.40%,2.50%,"298,769",85.50%,x
California,27,D+16,Judy Chu,D,202636,0,0,100.00%,0.00%,0.00%,100.00%,37.60%,N/A,"264,466",76.60%,x
California,28,D+23,Adam Schiff,D,196662,54272,0,78.40%,21.60%,0.00%,56.70%,49.80%,6.90%,"289,254",86.80%,x
California,29,D+29,Tony Cardenas,D,124697,29995,0,80.60%,19.40%,0.00%,61.20%,60.90%,0.30%,"196,196",78.80%,x
California,30,D+18,Brad Sherman,D,191573,69420,0,73.40%,26.60%,0.00%,46.80%,43.40%,3.40%,"302,821",86.20%,x
California,31,D+8,Pete Aguilar,D,110143,77352,0,58.70%,41.30%,0.00%,17.50%,21.10%,-3.60%,"228,825",81.90%,x
California,32,D+17,Grace Napolitano,D,121759,55272,0,68.80%,31.20%,0.00%,37.60%,38.90%,-1.30%,"220,046",80.50%,x
California,33,D+16,Ted Lieu,D,219091,93769,0,70.00%,30.00%,0.00%,40.10%,41.30%,-1.20%,"353,897",88.40%,x
California,34,D+35,Jimmy Gomez,D,110195,0,41711,72.50%,0.00%,27.50%,72.50%,72.80%,N/A,"184,601",82.30%,x
California,35,D+19,Norma Torres,D,103420,45604,0,69.40%,30.60%,0.00%,38.80%,40.80%,-2.00%,"188,611",79.00%,x
California,36,D+2,Raul Ruiz,D,122169,84839,0,59.00%,41.00%,0.00%,18.00%,8.70%,9.30%,"237,370",87.20%,x
California,37,D+37,Karen Bass,D,210555,25823,0,89.10%,10.90%,0.00%,78.20%,76.10%,2.10%,"276,134",85.60%,x
California,38,D+17,Linda Sanchez,D,139188,62968,0,68.90%,31.10%,0.00%,37.70%,39.50%,-1.80%,"248,271",81.40%,x
California,39,EVEN,Gil Cisneros,D,126002,118391,0,51.60%,48.40%,0.00%,3.10%,8.50%,-5.40%,"274,379",89.10%,x
California,40,D+33,Lucille Roybal-Allard,D,93938,0,27511,77.30%,0.00%,22.70%,77.30%,69.50%,N/A,"164,714",73.70%,x
California,41,D+12,Mark Takano,D,108227,58021,0,65.10%,34.90%,0.00%,30.20%,27.90%,2.30%,"206,961",80.30%,x
California,42,R+9,Ken Calvert,R,100892,131040,0,43.50%,56.50%,0.00%,-13.00%,-12.00%,-1.00%,"268,305",86.40%,x
California,43,D+29,Maxine Waters,D,152272,43780,0,77.70%,22.30%,0.00%,55.30%,61.70%,-6.40%,"234,060",83.80%,x
California,44,D+35,Nanette Barragan,D,143322,0,0,100.00%,0.00%,0.00%,100.00%,70.80%,N/A,"197,802",72.50%,x
California,45,R+3,Katie Porter,D,158906,146383,0,52.10%,47.90%,0.00%,4.10%,5.40%,-1.30%,"329,144",92.80%,x
California,46,D+15,Lou Correa,D,102278,45638,0,69.10%,30.90%,0.00%,38.30%,38.00%,0.30%,"182,597",81.00%,x
California,47,D+13,Alan Lowenthal,D,143354,77682,0,64.90%,35.10%,0.00%,29.70%,31.50%,-1.80%,"259,263",85.30%,x
California,48,R+4,Harley Rouda,D,157837,136899,0,53.60%,46.40%,0.00%,7.10%,1.70%,5.40%,"320,018",92.10%,x
California,49,R+1,Mike Levin,D,166453,128577,0,56.40%,43.60%,0.00%,12.80%,7.50%,5.30%,"314,717",93.70%,x
California,50,R+11,Duncan Hunter,R,125448,134362,0,48.30%,51.70%,0.00%,-3.40%,-15.00%,11.60%,"292,878",88.70%,x
California,51,D+22,Juan Vargas,D,109527,44301,0,71.20%,28.80%,0.00%,42.40%,49.00%,-6.60%,"205,852",74.70%,x
California,52,D+6,Scott Peters,D,188992,107015,0,63.80%,36.20%,0.00%,27.70%,22.60%,5.10%,"329,258",89.90%,x
California,53,D+14,Susan Davis,D,185667,83127,0,69.10%,30.90%,0.00%,38.10%,34.90%,3.20%,"310,373",86.60%,x
Colorado,1,D+21,Diana DeGette,D,272886,85207,11622,73.80%,23.00%,3.10%,50.80%,45.80%,5.00%,"401,981",92.00%,x
Colorado,2,D+9,Joe Neguse,D,259608,144901,26256,60.30%,33.60%,6.10%,26.60%,21.30%,5.30%,"470,864",91.50%,x
Colorado,3,R+6,Scott Tipton,R,146426,173205,16570,43.60%,51.50%,4.90%,-8.00%,-11.90%,3.90%,"377,176",89.10%,x
Colorado,4,R+13,Ken Buck,R,145544,224038,39,39.40%,60.60%,0.00%,-21.20%,-23.20%,2.00%,"402,203",91.90%,x
Colorado,5,R+14,Doug Lamborn,R,126848,184002,11866,39.30%,57.00%,3.70%,-17.70%,-23.90%,6.20%,"371,829",86.80%,x
Colorado,6,D+2,Jason Crow,D,187639,148685,10498,54.10%,42.90%,3.00%,11.20%,8.90%,2.30%,"380,530",91.10%,x
Colorado,7,D+6,Ed Perlmutter,D,204260,119734,14073,60.40%,35.40%,4.20%,25.00%,12.10%,12.90%,"371,934",90.90%,x
Connecticut,1,D+12,John Larson,D,175087,96024,3029,63.90%,35.00%,1.10%,28.80%,23.10%,5.70%,"329,238",83.30%,
Connecticut,2,D+3,Joe Courtney,D,179731,102483,6900,62.20%,35.40%,2.40%,26.70%,2.90%,23.80%,"341,409",84.70%,
Connecticut,3,D+9,Rosa DeLauro,D,174572,95667,0,64.60%,35.40%,0.00%,29.20%,15.50%,13.70%,"322,281",83.90%,
Connecticut,4,D+7,Jim Himes,D,168726,106921,4,61.20%,38.80%,0.00%,22.40%,23.00%,-0.60%,"328,790",83.80%,
Connecticut,5,D+2,Jahana Hayes,D,151225,119426,13,55.90%,44.10%,0.00%,11.70%,4.10%,7.60%,"323,202",83.70%,
Delaware,AL,D+6,Lisa Blunt Rochester,D,227353,125384,0,64.50%,35.50%,0.00%,28.90%,11.40%,17.50%,"442,997",79.60%,x
Florida,1,R+22,Matt Gaetz,R,106199,216189,0,32.90%,67.10%,0.00%,-34.10%,-39.30%,5.20%,"380,098",84.80%,x
Florida,2,R+18,Neal Dunn,R,96233,199335,0,32.60%,67.40%,0.00%,-34.90%,-35.60%,0.70%,"354,956",83.30%,x
Florida,3,R+9,Ted Yoho,R,129880,176616,0,42.40%,57.60%,0.00%,-15.20%,-16.00%,0.80%,"351,688",87.10%,x
Florida,4,R+17,John Rutherford,R,123351,248420,9478,32.40%,65.20%,2.50%,-32.80%,-28.00%,-4.80%,"421,712",90.40%,x
Florida,5,D+12,Al Lawson,D,180527,89799,0,66.80%,33.20%,0.00%,33.60%,25.40%,8.20%,"311,972",86.70%,x
Florida,6,R+7,Michael Waltz,R,145758,187891,0,43.70%,56.30%,0.00%,-12.60%,-17.00%,4.40%,"379,798",87.80%,x
Florida,7,EVEN,Stephanie Murphy,D,183113,134285,0,57.70%,42.30%,0.00%,15.40%,7.30%,8.10%,"363,186",87.40%,x
Florida,8,R+11,Bill Posey,R,142415,218112,0,39.50%,60.50%,0.00%,-21.00%,-20.70%,-0.30%,"401,911",89.70%,x
